Gridpoint,X_m,Y_m,Z_m,X_disp_mm,Y_disp_mm,Z_disp_mm,XY_disp_mm,XYZ_disp_mm
18574,569813.5229,5209523.647,375.36,-0.000516898,-0.000738733,0.000557519,0.000901615,0.001060064
18586,569811.2186,5209530.67,374.73,-0.000405608,-0.000965219,0.000524386,0.001046979,0.001170959
18598,569816.0264,5209527.073,375.63,-0.000559286,-0.000799314,0.000561481,0.000975553,0.001125595
18610,569813.7221,5209534.096,375.01,-0.000413514,-0.001045229,0.000561225,0.001124054,0.001256372
18622,569818.5304,5209530.53,375.91,-0.000606405,-0.000866654,0.00059548,0.001057742,0.001213843
18634,569816.2256,5209537.523,375.28,-0.000412892,-0.001108555,0.000568394,0.001182951,0.00131242
18646,569821.0339,5209533.957,376.18,-0.00063835,-0.000912308,0.000594849,0.001113461,0.001262395
18658,569818.7296,5209540.98,375.56,-0.000412311,-0.001167179,0.000586845,0.001237864,0.001369925
18670,569823.5374,5209537.384,376.46,-0.000667526,-0.000954006,0.000598432,0.001164354,0.001309137
18682,569821.2331,5209544.407,375.83,-0.000381023,-0.001263767,0.000614642,0.001319956,0.001456046
18694,569826.0414,5209540.841,376.73,-0.000689042,-0.000984756,0.000649629,0.001201884,0.001366215
18706,569823.7365,5209547.833,376.11,-0.000348249,-0.001317552,0.000617706,0.001362798,0.001496255
18718,569828.5449,5209544.267,377.01,-0.000704905,-0.001007426,0.000668279,0.001229552,0.001399427
18730,569826.2406,5209551.291,376.5,-0.000329335,-0.00137094,0.000652026,0.001409943,0.001553408
18742,569831.0483,5209547.694,377.29,-0.000720853,-0.001030218,0.000712232,0.00125737,0.001445079
18754,569828.744,5209554.717,376.95,-0.000309506,-0.001408099,0.000692236,0.001441713,0.001599289
18766,569833.5524,5209551.151,377.56,-0.00072552,-0.001036889,0.000720251,0.001265511,0.001456118
18778,569831.2475,5209558.144,377.39,-0.000329199,-0.001423059,0.000730709,0.00146064,0.001633219
18790,569836.0558,5209554.578,377.84,-0.000742376,-0.00106098,0.000728728,0.001294914,0.001485882
18802,569833.7515,5209561.601,377.84,-0.000345197,-0.001415552,0.000785962,0.001457034,0.001655501
18814,569838.5593,5209558.004,378.11,-0.000736254,-0.001052229,0.000771263,0.001284233,0.001498033
18826,569836.255,5209565.028,378.29,-0.00032849,-0.001422471,0.000828795,0.001459908,0.001678759
18838,569841.0633,5209561.462,378.47,-0.000740877,-0.001058837,0.000825056,0.001292299,0.001533217
18850,569838.7585,5209568.454,378.73,-0.000322203,-0.001428093,0.000894855,0.001463989,0.001715817
18862,569843.5668,5209564.888,378.92,-0.00073534,-0.001050924,0.000869823,0.001282641,0.001549761
18874,569841.2625,5209571.911,379.18,-0.000312602,-0.00142529,0.000928453,0.001459168,0.001729507
18886,569846.0703,5209568.315,379.37,-0.000728082,-0.00104055,0.000895345,0.001269979,0.001553863
18898,569843.766,5209575.338,379.63,-0.0003122,-0.001414909,0.000999634,0.001448943,0.001760313
18910,569848.5743,5209571.772,379.81,-0.000723155,-0.001033509,0.000965066,0.001261386,0.001588221
18922,569846.2694,5209578.765,380.07,-0.000312684,-0.001388032,0.001077018,0.001422815,0.00178448
18934,569851.0778,5209575.199,380.26,-0.000708955,-0.001013215,0.001045608,0.001236617,0.001619419
18946,569848.7735,5209582.222,380.52,-0.00032986,-0.001354227,0.001118925,0.001393822,0.001787381
18958,569853.5812,5209578.625,380.71,-0.000701144,-0.001002052,0.001108006,0.001222993,0.001650269
18970,569851.2769,5209585.649,380.77,-0.000352408,-0.001314855,0.001175122,0.001361263,0.001798318
18982,569856.0853,5209582.082,380.96,-0.000690734,-0.000987174,0.001160496,0.001204835,0.001672835
18994,569853.7804,5209589.075,380.73,-0.000362744,-0.001313367,0.001201454,0.001362541,0.001816593
19006,569858.5887,5209585.509,380.92,-0.000688884,-0.000984529,0.001178396,0.001201607,0.001682996
19018,569856.2844,5209592.532,380.69,-0.000394011,-0.001306521,0.001234488,0.00136464,0.001840164
19030,569861.0922,5209588.936,380.88,-0.000702722,-0.001004307,0.0012187,0.001225745,0.001728491
19042,569858.7879,5209595.959,380.65,-0.000395918,-0.001334889,0.001274714,0.001392364,0.001887743
19054,569863.5962,5209592.393,380.83,-0.000711337,-0.00101662,0.001249757,0.001240773,0.001761082
19066,569861.2914,5209599.386,380.56,-0.00039699,-0.001336404,0.001296688,0.001394122,0.001903937
19078,569866.0997,5209595.82,380.79,-0.000731788,-0.001045847,0.001278067,0.001276444,0.001806312
19090,569863.7954,5209602.843,380.43,-0.000404369,-0.001363383,0.001321467,0.001422085,0.001941288
19102,569868.6032,5209599.246,380.75,-0.000746228,-0.001066485,0.001339563,0.001301632,0.0018678
19114,569866.2989,5209606.269,380.3,-0.000424227,-0.001373931,0.001368921,0.001437934,0.001985346
19126,569871.1072,5209602.703,380.69,-0.00076298,-0.001090426,0.001374866,0.001330852,0.001913485
19138,569868.8023,5209609.696,380.18,-0.000450633,-0.001375246,0.001381486,0.001447195,0.002000719
19150,569873.6107,5209606.13,380.67,-0.000787235,-0.00112509,0.001387466,0.001373159,0.001952083
19162,569871.3064,5209613.153,380.05,-0.000421666,-0.001428993,0.001400519,0.001489907,0.002044816
19174,569876.1141,5209609.557,380.75,-0.000795926,-0.00113751,0.001431943,0.001388318,0.001994464
19186,569873.8098,5209616.58,379.97,-0.000435609,-0.001475042,0.001442455,0.001538019,0.002108597
19198,569878.6182,5209613.014,380.82,-0.000837552,-0.001197001,0.001474593,0.001460926,0.002075748
19210,569876.3133,5209620.006,379.94,-0.000449598,-0.001489124,0.001431814,0.001555515,0.002114171
19222,569881.1216,5209616.44,380.88,-0.000883011,-0.00126197,0.001505145,0.00154022,0.002153541
19234,569878.8173,5209623.464,379.91,-0.000537159,-0.0015279,0.001448331,0.001619574,0.002172713
19246,569883.6251,5209619.867,380.82,-0.000911715,-0.001302993,0.001561411,0.001590287,0.002228681
19258,569881.3208,5209626.89,379.86,-0.000603355,-0.001546229,0.001472522,0.001659778,0.002218825
19270,569886.1291,5209623.324,380.76,-0.000942373,-0.001346808,0.001634978,0.001643764,0.002318429
19282,569883.8242,5209630.317,379.8,-0.000583845,-0.001647826,0.001480057,0.001748201,0.002290584
19294,569888.6326,5209626.751,380.7,-0.000965912,-0.001380449,0.001661139,0.001684822,0.002366011
19306,569886.3283,5209633.774,379.72,-0.000744803,-0.001521828,0.001525046,0.001694311,0.002279574
19318,569891.1361,5209630.178,380.63,-0.000967638,-0.001382916,0.001686113,0.001687833,0.00238574
19330,569888.8318,5209637.201,379.41,-0.000645687,-0.00165281,0.001540327,0.001774455,0.002349744
19342,569893.6401,5209633.635,380.32,-0.001000739,-0.001430223,0.0016976,0.001745571,0.002434925
19354,569891.3352,5209640.627,379.1,-0.000376077,-0.001840174,0.001543478,0.001878211,0.002431049
19366,569896.1436,5209637.061,380.01,-0.001002663,-0.001432973,0.001725112,0.001748927,0.002456575
19378,569893.8393,5209644.084,378.78,-0.000295819,-0.001880072,0.001518776,0.001903203,0.002434926
19390,569898.647,5209640.488,379.7,-0.001004981,-0.001436285,0.00171801,0.001752969,0.002454477
19402,569896.3427,5209647.511,378.44,-4.01422E-05,-0.002027429,0.001492332,0.002027826,0.002517764
19414,569901.1511,5209643.945,379.39,-0.00099458,-0.00142142,0.001766395,0.001734827,0.002475838
19426,569898.8462,5209650.938,378.1,4.90744E-06,-0.002056075,0.001380417,0.002056081,0.002476493
19438,569903.6545,5209647.372,379.08,-0.001022147,-0.001460818,0.00183349,0.001782912,0.002557432
19450,569901.3502,5209654.395,378.02,-6.79382E-05,-0.002005873,0.001305685,0.002007023,0.002394359
19462,569906.158,5209650.798,378.76,-0.001001769,-0.001431694,0.001906962,0.001747366,0.002586463
19474,569903.8537,5209657.822,378.01,-7.87912E-05,-0.002040169,0.001223581,0.00204169,0.002380262
19486,569908.662,5209654.256,378.45,-0.001027024,-0.001467789,0.001940236,0.001791419,0.002640776
19498,569906.3571,5209661.248,378.41,1.1413E-05,-0.002199783,0.001219385,0.002199812,0.002515169
19510,569911.1655,5209657.682,378.62,-0.001052198,-0.001503767,0.00196356,0.00183533,0.00268775
19522,569908.8612,5209664.705,378.85,0.000183616,-0.002402758,0.001361891,0.002409764,0.002767979
19534,569913.669,5209661.109,378.58,-0.001004862,-0.001436115,0.001955908,0.001752762,0.002626357
19546,569911.3646,5209668.132,378.82,0.000327861,-0.00234187,0.001432499,0.002364709,0.002764761
19558,569916.173,5209664.566,378.52,-0.000970526,-0.001387044,0.001920115,0.001692871,0.002559815
19570,569913.8681,5209671.559,378.59,0.000303908,-0.002203189,0.001447024,0.002224051,0.002653353
19582,569918.6765,5209667.993,378.45,-0.000899507,-0.001285546,0.001873661,0.001568994,0.002443839
19594,569916.3721,5209675.016,378.59,0.000670944,-0.002057602,0.001243615,0.00216423,0.002496091
19606,569921.1799,5209671.419,378.39,-0.000802771,-0.001147293,0.001782314,0.001400258,0.002266576
19618,569918.8756,5209678.442,378.77,0.010147805,-0.007482281,0.000850855,0.012608033,0.01263671
19630,569923.684,5209674.876,378.33,-0.000783048,-0.001119107,0.00207401,0.001365857,0.002483361
19642,569921.3791,5209681.869,378.71,0.008020909,-0.005508168,-0.001173828,0.009730102,0.009800651
19654,569926.1874,5209678.303,378.26,-0.000767915,-0.001097478,0.00293574,0.001339459,0.003226874
19666,569923.8831,5209685.326,378.92,0.010888282,-0.008548192,-0.001072714,0.013842914,0.013884415
19678,569928.6909,5209681.73,378.32,-0.000753273,-0.001076553,0.00264381,0.00131392,0.002952307
19690,569926.3866,5209688.753,379.39,0.007995984,-0.007501169,0.000900737,0.010963726,0.011000664
19702,569931.1949,5209685.187,378.53,-0.000624535,-0.000892564,0.002506027,0.001089364,0.00273256
19714,569928.89,5209692.18,379.89,0.003431304,-0.004211518,0.001352722,0.005432378,0.005598267
19726,569933.6984,5209688.614,379.01,-0.00051251,-0.000732462,0.001729524,0.000893962,0.0019469
19738,569931.3941,5209695.637,380.4,0.001376559,-0.002561247,0.002050001,0.002907731,0.003557725
19750,569936.2018,5209692.04,379.48,-0.000573535,-0.000819677,0.001562278,0.001000406,0.001855135
19762,569933.8975,5209699.063,380.9,0.00053346,-0.001990992,0.002305706,0.00206122,0.003092719
19774,569938.7059,5209695.497,379.96,-0.000646697,-0.000924238,0.001345412,0.001128022,0.001755724
19786,569936.401,5209702.49,381.41,0.002532628,-0.003309097,0.002822872,0.004167053,0.005033183
19798,569941.2093,5209698.924,380.43,-0.000662117,-0.000946276,0.001188278,0.001154919,0.001657058
19810,569938.905,5209705.947,381.92,0.001012039,-0.002269619,0.002709492,0.002485034,0.003676512
19822,569943.7128,5209702.351,380.88,-0.000603426,-0.000862397,0.001211348,0.001052545,0.001604748
19834,569941.4085,5209709.374,382.31,0.004371942,-0.004122379,0.00221657,0.006008984,0.006404769
19846,569946.2169,5209705.808,380.65,-0.000372667,-0.000532604,0.000399814,0.000650037,0.00076315
19858,569943.912,5209712.8,382.6,0.019702038,-0.013614448,0.003036278,0.023948351,0.02414006
19870,569948.7203,5209709.234,380.78,-0.000289912,-0.000414333,-0.001285347,0.000505688,0.001381245
19882,569946.416,5209716.258,382.9,0.016522487,-0.013162242,0.001561097,0.021124327,0.021181931
